timestamp,startTime,endTime,distance,steps
10.8117860555649,0.00188100337982178,10.7315385937691,6.570000000006985,9
13.3327560424805,0.00188100337982178,13.2738965749741,9.880665048083756,13
15.8829620480537,0.00188100337982178,15.8175482153893,13.19133009616053,17
18.4084810018539,0.00188100337982178,18.3554202318192,16.5019951442373,21
20.9621240496635,0.00188100337982178,20.8947915434837,20.5836369843455,26
23.4937160015106,0.00188100337982178,23.4366005659103,23.84895045642043,30
26.0588819980621,0.00188100337982178,25.9788860678673,27.1596155044972,34
28.5845720171928,0.00188100337982178,28.5235330462456,30.42492897657212,38
31.1176110506058,0.00188100337982178,31.0610283613205,33.69024244864704,42
33.662132024765,0.00188100337982178,33.6010983586311,36.95555592072196,46
36.1959330439568,0.00188100337982178,36.1427530646324,41.09388723084703,51
38.7436380386353,0.00188100337982178,38.6846240758896,44.4045522789238,55
41.2772410511971,0.00188100337982178,41.2239620089531,47.66986575099872,59
43.8323979973793,0.00188100337982178,43.7669323682785,50.93517922307365,63
46.3467930555344,0.00188100337982178,46.2960463762283,55.01682106318185,68
48.8931040167809,0.00188100337982178,48.8370916843414,57.37510301521979,72
51.4287580251694,0.00188100337982178,51.376916706562,60.68576806329656,76
53.9819710254669,0.00188100337982178,53.9166894555092,62.2957490113331,78
