timestamp,ts,steps
0.170267999172211,-65.5455195903778,0
10.8077139854431,10.7315345406532,9
13.3271369934082,13.2738925218582,13
15.8790029883385,15.8175441622734,17
18.4060559868813,18.3554161787033,21
20.9601709842682,20.8947874903679,26
23.4926149845123,23.4365965127945,30
26.0546909570694,25.9788820147514,34
28.5831379890442,28.5235289931297,38
31.1152239441872,31.0610243082047,42
33.6601239442825,33.6010943055153,46
36.1915339827538,36.1427490115166,51
38.741338968277,38.6846200227737,55
41.2748279571533,41.2239579558372,59
43.8313049674034,43.7669283151627,63
46.3412609696388,46.2960423231125,68
48.8880299925804,48.8370876312256,72
51.4245309829712,51.3769126534462,76
53.9733719825745,53.9166854023933,78
