timestamp,uuid,major,minor,accuracy,rssi,proximity
1.06184601783752,F0018B9B-7509-4C31-A905-1A27D39C003C,52281,20431,0.879922543569107,-64,2
1.06184601783752,F0018B9B-7509-4C31-A905-1A27D39C003C,20277,50452,1.29154966501488,-67,2
1.06184601783752,F0018B9B-7509-4C31-A905-1A27D39C003C,27850,24174,1.29154966501488,-67,2
1.06184601783752,F0018B9B-7509-4C31-A905-1A27D39C003C,41738,1201,2.44843674682223,-72,2
1.06184601783752,F0018B9B-7509-4C31-A905-1A27D39C003C,29351,12971,5.99484250318941,-79,2
1.06184601783752,F0018B9B-7509-4C31-A905-1A27D39C003C,21500,48945,4.64158883361278,-77,3
1.06184601783752,F0018B9B-7509-4C31-A905-1A27D39C003C,38722,6270,5.27499706370262,-78,3
1.06184601783752,F0018B9B-7509-4C31-A905-1A27D39C003C,54337,42057,5.99484250318941,-79,3
1.06184601783752,F0018B9B-7509-4C31-A905-1A27D39C003C,39821,56686,6.81292069057961,-80,3
1.06184601783752,F0018B9B-7509-4C31-A905-1A27D39C003C,23750,52833,8.79922543569107,-82,3
2.05235004425049,F0018B9B-7509-4C31-A905-1A27D39C003C,52281,20431,0.87992254560952,-64,2
2.05235004425049,F0018B9B-7509-4C31-A905-1A27D39C003C,20277,50452,1.29154966702827,-67,2
2.05235004425049,F0018B9B-7509-4C31-A905-1A27D39C003C,27850,24174,1.29154966702827,-67,2
2.05235004425049,F0018B9B-7509-4C31-A905-1A27D39C003C,41738,1201,1.98381554210307,-70,2
2.05235004425049,F0018B9B-7509-4C31-A905-1A27D39C003C,38722,6270,4.84238815103424,-77,3
2.05235004425049,F0018B9B-7509-4C31-A905-1A27D39C003C,21500,48945,5.0562587137125,-78,3
2.05235004425049,F0018B9B-7509-4C31-A905-1A27D39C003C,54337,42057,5.52358520273949,-78,3
2.05235004425049,F0018B9B-7509-4C31-A905-1A27D39C003C,39821,56686,6.81292064186979,-80,3
2.05235004425049,F0018B9B-7509-4C31-A905-1A27D39C003C,29351,12971,6.97992398756796,-81,3
