timestamp,ts,m11,m12,m13,m21,m22,m23,m31,m32,m33,ax,ay,az
0.0950319766998291,0.0946090221405029,0.999990582466125,-0.00184021110180765,0.00393316382542253,0.00184430263470858,0.999997735023499,-0.0010368978837505,-0.00393124716356397,0.0010441419435665,0.999991714954376,0.0,0.0,0.0
0.116570949554443,0.116108000278473,0.99891060590744,-0.0226436611264944,0.0408025085926056,0.00189223140478134,0.893315017223358,0.449427098035812,-0.0466261655092239,-0.448860317468643,0.892384707927704,-0.0326380431652069,0.00519797997549176,0.0730029717087746
0.138812959194183,0.138433992862701,0.998539447784424,-0.0350379608571529,0.0411249846220016,0.0136814825236797,0.900370299816132,0.43490931391716,-0.0522660538554192,-0.433711439371109,0.899534702301025,-0.0283482801169157,0.11178919672966,0.0802139937877655
0.161061942577362,0.160762012004852,0.998342990875244,-0.0403209291398525,0.0410545095801353,0.0191585309803486,0.905654191970825,0.423583984375,-0.0542604848742485,-0.422095537185669,0.904926061630249,0.132683545351028,0.1678466796875,-0.0478937849402428
0.18291699886322,0.182529032230377,0.997797429561615,-0.0456241443753242,0.0481526143848896,0.0217668022960424,0.910908162593842,0.412034660577774,-0.0626613348722458,-0.410079032182693,0.909894943237305,0.117595367133617,0.121324203908443,-0.010789891704917
0.204700946807861,0.204082012176514,0.995618283748627,-0.0590323358774185,0.0725214332342148,0.0264102518558502,0.921486139297485,0.387512385845184,-0.0897032469511032,-0.383899092674255,0.919007539749146,0.0764582008123398,0.0583802685141563,0.00885126926004887
0.226525962352753,0.226146996021271,0.991966187953949,-0.0775830745697021,0.0999199450016022,0.0383691415190697,0.937170803546906,0.346754610538483,-0.120544344186783,-0.340134978294373,0.932618498802185,0.0945488587021828,-0.00560136744752526,0.114747405052185
0.248734951019287,0.248359024524689,0.990582048892975,-0.0865134373307228,0.106125324964523,0.0503192767500877,0.950872004032135,0.305467486381531,-0.127338647842407,-0.29725044965744,0.946270048618317,0.00296065444126725,0.0515764839947224,0.122219160199165
0.27048796415329,0.26983904838562,0.991715908050537,-0.0828002989292145,0.0982020050287247,0.0512646436691284,0.95611959695816,0.288456708192825,-0.117777168750763,-0.281032830476761,0.952443718910217,0.108562722802162,0.214924618601799,-0.203775733709335
0.292945981025696,0.292567014694214,0.992492258548737,-0.0788023397326469,0.0935374647378922,0.048319049179554,0.955190360546112,0.292021572589874,-0.112358078360558,-0.285309493541718,0.951826751232147,0.172272816300392,0.179426968097687,-0.107178993523121
0.334210991859436,0.333597004413605,0.99378776550293,-0.0779530256986618,0.0794301852583885,0.0524688363075256,0.957589328289032,0.283319145441055,-0.0981470867991447,-0.277391523122787,0.955730676651001,0.0650258883833885,0.087350532412529,-0.0812413841485977
0.336232960224152,0.335987031459808,0.99372786283493,-0.0802469551563263,0.0778802484273911,0.0555862933397293,0.958781540393829,0.278654038906097,-0.0970312803983688,-0.272577226161957,0.957228600978851,0.0322717316448689,0.114850953221321,0.0123433414846659
0.358442962169647,0.358159005641937,0.994325816631317,-0.0761110112071037,0.0743186473846436,0.0545350387692451,0.964555859565735,0.258181899785995,-0.0913349688053131,-0.252663940191269,0.963233530521393,0.0762107372283936,0.0874818116426468,0.0485759451985359
0.379459977149963,0.379172027111053,0.995085537433624,-0.0686624720692635,0.0713460668921471,0.0497598685324192,0.969693601131439,0.239203497767448,-0.0856081321835518,-0.234477773308754,0.968344688415527,0.11433007568121,0.134863913059235,-0.0355615690350533
0.402772963047028,0.402474045753479,0.994886934757233,-0.0665580332279205,0.0759604796767235,0.0470933578908443,0.9710773229599,0.234074801206589,-0.0893430635333061,-0.229300737380981,0.969246625900269,0.051378570497036,0.0455372110009193,-0.0709450393915176
0.424933969974518,0.424682021141052,0.995252251625061,-0.0650261491537094,0.0724191963672638,0.0470843613147736,0.972876727581024,0.226481586694717,-0.0851821750402451,-0.221996486186981,0.971319496631622,0.0305490773171186,0.0648147091269493,-0.0926758721470833
0.446894943714142,0.446618020534515,0.99589067697525,-0.0619324520230293,0.0660769268870354,0.0463125929236412,0.975273609161377,0.216093689203262,-0.0778262987732887,-0.212145507335663,0.974134147167206,0.0638338848948479,0.0893541947007179,-0.0739615485072136
0.46921694278717,0.468834042549133,0.996394515037537,-0.058600977063179,0.0613502487540245,0.0448852851986885,0.977744162082672,0.204943105578423,-0.0719947144389153,-0.201450482010841,0.976849257946014,0.076441191136837,0.0885185524821281,-0.000994983362033963
0.491157948970795,0.490806043148041,0.996176481246948,-0.057042121887207,0.066171407699585,0.0425531715154648,0.978311061859131,0.202723100781441,-0.0762999802827835,-0.199132189154625,0.976997792720795,0.0683839321136475,0.062372762709856,0.00679820822551847
0.51292496919632,0.512571036815643,0.996234059333801,-0.0558230578899384,0.0663441345095634,0.0418754518032074,0.979788899421692,0.195602178573608,-0.0759223625063896,-0.192087352275848,0.978436648845673,0.0438831970095634,0.0566861554980278,0.0245944708585739
0.535307943820953,0.534951031208038,0.996001243591309,-0.0551476962864399,0.070286862552166,0.0407939068973064,0.980669617652893,0.191371276974678,-0.07948187738657,-0.187738761305809,0.978997826576233,0.0640765354037285,0.0689500197768211,0.0321289524435997
0.557609975337982,0.556910991668701,0.996226370334625,-0.0542717538774014,0.0677316561341286,0.0409282706677914,0.981923341751099,0.18480096757412,-0.0765367671847343,-0.181331470608711,0.980439186096191,0.0656259432435036,0.0469835959374905,-0.0158834345638752
