timestamp,uuid,major,minor,accuracy,rssi,proximity
1.02986097335815,F0018B9B-7509-4C31-A905-1A27D39C003C,27850,24174,0.879922543569107,-64,2
1.02986097335815,F0018B9B-7509-4C31-A905-1A27D39C003C,52281,20431,1.13646366638572,-66,2
1.02986097335815,F0018B9B-7509-4C31-A905-1A27D39C003C,54337,42057,1.66810053720006,-69,2
1.02986097335815,F0018B9B-7509-4C31-A905-1A27D39C003C,20277,50452,1.89573565240638,-70,2
1.02986097335815,F0018B9B-7509-4C31-A905-1A27D39C003C,41738,1201,3.16227766016838,-74,2
1.02986097335815,F0018B9B-7509-4C31-A905-1A27D39C003C,29351,12971,3.59381366380463,-75,2
1.02986097335815,F0018B9B-7509-4C31-A905-1A27D39C003C,21500,48945,7.74263682681127,-81,2
1.02986097335815,F0018B9B-7509-4C31-A905-1A27D39C003C,39821,56686,5.27499706370262,-78,3
1.02986097335815,F0018B9B-7509-4C31-A905-1A27D39C003C,23750,52833,5.99484250318941,-79,3
2.03823500871658,F0018B9B-7509-4C31-A905-1A27D39C003C,27850,24174,0.781856571178718,-63,2
2.03823500871658,F0018B9B-7509-4C31-A905-1A27D39C003C,52281,20431,1.13646366390947,-66,2
2.03823500871658,F0018B9B-7509-4C31-A905-1A27D39C003C,54337,42057,1.66810054553108,-69,2
2.03823500871658,F0018B9B-7509-4C31-A905-1A27D39C003C,20277,50452,2.10857899313915,-71,2
2.03823500871658,F0018B9B-7509-4C31-A905-1A27D39C003C,41738,1201,2.09757510381153,-70,3
2.03823500871658,F0018B9B-7509-4C31-A905-1A27D39C003C,29351,12971,3.59381366220677,-75,3
2.03823500871658,F0018B9B-7509-4C31-A905-1A27D39C003C,38722,6270,4.08423865267452,-76,3
2.03823500871658,F0018B9B-7509-4C31-A905-1A27D39C003C,39821,56686,4.84238815103424,-77,3
2.03823500871658,F0018B9B-7509-4C31-A905-1A27D39C003C,23750,52833,5.99484251297445,-79,3
2.03823500871658,F0018B9B-7509-4C31-A905-1A27D39C003C,21500,48945,6.6499130984622,-79,3
3.04155200719833,F0018B9B-7509-4C31-A905-1A27D39C003C,27850,24174,0.621907984808791,-60,2
3.04155200719833,F0018B9B-7509-4C31-A905-1A27D39C003C,52281,20431,1.21101412901404,-67,2
3.04155200719833,F0018B9B-7509-4C31-A905-1A27D39C003C,54337,42057,1.56348742537173,-68,2
3.04155200719833,F0018B9B-7509-4C31-A905-1A27D39C003C,41738,1201,2.00015387481458,-70,2
3.04155200719833,F0018B9B-7509-4C31-A905-1A27D39C003C,20277,50452,2.25914921220921,-72,2
3.04155200719833,F0018B9B-7509-4C31-A905-1A27D39C003C,29351,12971,3.39043696415888,-74,3
3.04155200719833,F0018B9B-7509-4C31-A905-1A27D39C003C,38722,6270,3.72346791120458,-75,3
3.04155200719833,F0018B9B-7509-4C31-A905-1A27D39C003C,39821,56686,4.75828475750353,-77,3
3.04155200719833,F0018B9B-7509-4C31-A905-1A27D39C003C,21500,48945,6.39079768248857,-79,3
3.04155200719833,F0018B9B-7509-4C31-A905-1A27D39C003C,23750,52833,6.58260911028824,-81,3
4.03298199176788,F0018B9B-7509-4C31-A905-1A27D39C003C,27850,24174,0.575613886998243,-60,2
4.03298199176788,F0018B9B-7509-4C31-A905-1A27D39C003C,52281,20431,1.24173943207146,-67,2
4.03298199176788,F0018B9B-7509-4C31-A905-1A27D39C003C,54337,42057,1.52607200039536,-68,2
4.03298199176788,F0018B9B-7509-4C31-A905-1A27D39C003C,20277,50452,1.89352435654765,-68,2
4.03298199176788,F0018B9B-7509-4C31-A905-1A27D39C003C,41738,1201,1.96201519670592,-70,2
4.03298199176788,F0018B9B-7509-4C31-A905-1A27D39C003C,29351,12971,3.31170512530522,-74,3
4.03298199176788,F0018B9B-7509-4C31-A905-1A27D39C003C,38722,6270,3.66646712456442,-75,3
4.03298199176788,F0018B9B-7509-4C31-A905-1A27D39C003C,39821,56686,4.72169708384223,-77,3
4.03298199176788,F0018B9B-7509-4C31-A905-1A27D39C003C,21500,48945,7.1234806293168,-83,3
4.03298199176788,F0018B9B-7509-4C31-A905-1A27D39C003C,23750,52833,7.32590365171782,-83,3
5.03611302375793,F0018B9B-7509-4C31-A905-1A27D39C003C,27850,24174,0.553900036474333,-60,2
5.03611302375793,F0018B9B-7509-4C31-A905-1A27D39C003C,54337,42057,1.50638095812605,-68,2
5.03611302375793,F0018B9B-7509-4C31-A905-1A27D39C003C,52281,20431,1.64126410657502,-76,2
5.03611302375793,F0018B9B-7509-4C31-A905-1A27D39C003C,20277,50452,1.73700937604796,-68,2
5.03611302375793,F0018B9B-7509-4C31-A905-1A27D39C003C,41738,1201,1.86145030364084,-69,2
5.03611302375793,F0018B9B-7509-4C31-A905-1A27D39C003C,29351,12971,3.38521326039189,-75,3
5.03611302375793,F0018B9B-7509-4C31-A905-1A27D39C003C,38722,6270,3.93406593491896,-77,3
5.03611302375793,F0018B9B-7509-4C31-A905-1A27D39C003C,39821,56686,4.70087217602218,-77,3
5.03611302375793,F0018B9B-7509-4C31-A905-1A27D39C003C,23750,52833,7.83478001816598,-83,3
5.03611302375793,F0018B9B-7509-4C31-A905-1A27D39C003C,21500,48945,7.96819963254241,-85,3
6.04201501607895,F0018B9B-7509-4C31-A905-1A27D39C003C,23750,52833,-1.0,0,0
6.04201501607895,F0018B9B-7509-4C31-A905-1A27D39C003C,27850,24174,0.601996057637453,-62,2
6.04201501607895,F0018B9B-7509-4C31-A905-1A27D39C003C,54337,42057,1.49427486233523,-68,2
6.04201501607895,F0018B9B-7509-4C31-A905-1A27D39C003C,52281,20431,1.64958176451431,-69,2
6.04201501607895,F0018B9B-7509-4C31-A905-1A27D39C003C,41738,1201,1.99851868986057,-72,2
6.04201501607895,F0018B9B-7509-4C31-A905-1A27D39C003C,20277,50452,2.12461813383159,-77,2
6.04201501607895,F0018B9B-7509-4C31-A905-1A27D39C003C,29351,12971,3.43449273108488,-75,3
6.04201501607895,F0018B9B-7509-4C31-A905-1A27D39C003C,38722,6270,4.10238605275578,-77,3
6.04201501607895,F0018B9B-7509-4C31-A905-1A27D39C003C,39821,56686,4.54498999613627,-76,3
6.04201501607895,F0018B9B-7509-4C31-A905-1A27D39C003C,21500,48945,8.48912120894363,-84,3
7.0427719950676,F0018B9B-7509-4C31-A905-1A27D39C003C,27850,24174,0.749270909837923,-66,2
7.0427719950676,F0018B9B-7509-4C31-A905-1A27D39C003C,52281,20431,1.59133491010565,-68,2
7.0427719950676,F0018B9B-7509-4C31-A905-1A27D39C003C,54337,42057,1.77343243851793,-74,2
7.0427719950676,F0018B9B-7509-4C31-A905-1A27D39C003C,41738,1201,2.16441790085154,-73,2
7.0427719950676,F0018B9B-7509-4C31-A905-1A27D39C003C,20277,50452,2.53698730112163,-78,2
7.0427719950676,F0018B9B-7509-4C31-A905-1A27D39C003C,29351,12971,3.36790413380143,-74,3
7.0427719950676,F0018B9B-7509-4C31-A905-1A27D39C003C,39821,56686,4.01162135210577,-73,3
7.0427719950676,F0018B9B-7509-4C31-A905-1A27D39C003C,38722,6270,4.21888857165631,-77,3
7.0427719950676,F0018B9B-7509-4C31-A905-1A27D39C003C,23750,52833,7.81528197287509,-81,3
7.0427719950676,F0018B9B-7509-4C31-A905-1A27D39C003C,21500,48945,8.90435830638395,-84,3
8.03050297498703,F0018B9B-7509-4C31-A905-1A27D39C003C,27850,24174,1.10511419540811,-76,2
8.03050297498703,F0018B9B-7509-4C31-A905-1A27D39C003C,52281,20431,1.55362169312361,-68,2
8.03050297498703,F0018B9B-7509-4C31-A905-1A27D39C003C,41738,1201,2.00858410590232,-69,2
8.03050297498703,F0018B9B-7509-4C31-A905-1A27D39C003C,54337,42057,2.02630206031934,-74,2
8.03050297498703,F0018B9B-7509-4C31-A905-1A27D39C003C,20277,50452,2.74203952975299,-75,2
8.03050297498703,F0018B9B-7509-4C31-A905-1A27D39C003C,39821,56686,3.55294465826572,-72,3
8.03050297498703,F0018B9B-7509-4C31-A905-1A27D39C003C,29351,12971,3.7888066773023,-80,3
8.03050297498703,F0018B9B-7509-4C31-A905-1A27D39C003C,38722,6270,3.93218908722854,-74,3
8.03050297498703,F0018B9B-7509-4C31-A905-1A27D39C003C,23750,52833,7.03517108427507,-78,3
8.03050297498703,F0018B9B-7509-4C31-A905-1A27D39C003C,21500,48945,7.70568392349507,-77,3
9.03474599123001,F0018B9B-7509-4C31-A905-1A27D39C003C,27850,24174,1.46657643648447,-75,2
9.03474599123001,F0018B9B-7509-4C31-A905-1A27D39C003C,52281,20431,1.63823885053704,-70,2
9.03474599123001,F0018B9B-7509-4C31-A905-1A27D39C003C,41738,1201,1.90807806000313,-69,2
9.03474599123001,F0018B9B-7509-4C31-A905-1A27D39C003C,54337,42057,2.34580560735117,-76,2
9.03474599123001,F0018B9B-7509-4C31-A905-1A27D39C003C,20277,50452,2.97822332114455,-76,2
9.03474599123001,F0018B9B-7509-4C31-A905-1A27D39C003C,39821,56686,3.25769075698232,-72,2
9.03474599123001,F0018B9B-7509-4C31-A905-1A27D39C003C,38722,6270,3.6209627680616,-73,3
9.03474599123001,F0018B9B-7509-4C31-A905-1A27D39C003C,29351,12971,4.30344366684807,-82,3
9.03474599123001,F0018B9B-7509-4C31-A905-1A27D39C003C,23750,52833,6.13428577079186,-76,3
9.03474599123001,F0018B9B-7509-4C31-A905-1A27D39C003C,21500,48945,6.96485918352699,-77,3
