timestamp,ts,steps
0.170340955257416,-0.715310156345367,0
12.0691949725151,11.993916451931,6
14.5872859954834,14.5349178314209,10
17.145731985569,17.0753838419914,11
32.3918649554253,32.3172497749329,29
34.9260360002518,34.8565084934235,31
85.7096059918404,85.6344276070595,43
88.2224329710007,88.1729406118393,44
146.645473957062,146.574614942074,50
222.81022298336,222.736849844456,57
225.326547980309,225.275333821774,61
227.877609968185,227.814060866833,64
265.996023952961,265.905540943146,71
268.493066966534,268.44362694025,75
271.042199969292,270.981589853764,79
273.570762991905,273.519614815712,82
276.128519952297,276.063550591469,86
