timestamp,startTime,endTime,distance,steps
12.0709879994392,0.00184899568557739,11.9939214587212,4.119675218767952,6
14.5888469815254,0.00184899568557739,14.5349228382111,7.384988690842874,10
17.1538760066032,0.00184899568557739,17.0753888487816,8.104988690814935,11
32.3882870078087,0.00184899568557739,29.7767267823219,8.104988690814935,11
32.3952049612999,0.00184899568557739,32.317254781723,21.2449886908289,29
34.9291279911995,0.00184899568557739,34.8565135002136,22.85496963886544,31
85.7116909623146,0.00184899568557739,83.1036820411682,22.85496963886544,31
85.7134590148926,0.00184899568557739,85.6344326138496,31.7349696388701,43
88.2264639735222,0.00184899568557739,88.1729456186295,32.24496963887941,44
146.645483016968,0.00184899568557739,144.05179297924,32.24496963887941,44
146.648164987564,0.00184899568557739,146.574619948864,36.42186256905552,50
222.807165980339,0.00184899568557739,220.215675830841,36.42186256905552,50
222.812227964401,0.00184899568557739,222.736854851246,41.29490432090824,57
225.331053972244,0.00184899568557739,225.275338828564,44.60556936898502,61
227.880567014217,0.00184899568557739,227.814065873623,47.05455447302666,64
265.993997991085,0.00184899568557739,263.366566479206,47.05455447302666,64
265.998466968536,0.00184899568557739,265.905545949936,51.92759622487938,71
268.497115969658,0.00184899568557739,268.443631947041,55.23826127295615,75
271.047181963921,0.00184899568557739,270.981594860554,58.50357474503107,79
273.572722971439,0.00184899568557739,273.519619822502,60.95255984907271,82
276.130005002022,0.00184899568557739,276.063555598259,64.21787332114764,86
