timestamp,startDate,confidence,unknown,stationary,walking,running,automotive,cycling
0.0754790306091309,-1.10806119441986,0,false,false,false,false,false,false
2.37840002775192,2.3892422914505,1,false,true,false,false,false,false
3.02108800411224,3.0250763297081,1,false,false,false,false,false,false
4.01309299468994,3.97899532318115,0,false,false,false,false,false,false
19.8756420016289,19.8767498135567,1,false,true,false,false,false,false
23.0583119988441,23.0557788014412,2,false,true,false,false,false,false
25.6034770011902,25.5993177890778,1,false,true,false,false,false,false
26.2414420247078,26.235183775425,1,false,false,false,false,false,false
26.9160630106926,26.8710491657257,0,false,false,false,false,false,false
28.1463500261307,28.1427471637726,1,false,true,false,false,false,false
28.781545996666,28.7785501480103,1,false,false,false,false,false,false
29.4585390090942,29.4144441485405,0,false,false,false,false,false,false
45.311488032341,45.3109302520752,1,false,true,false,false,false,false
45.6269870400429,45.6288762688637,1,false,false,false,false,false,false
47.2695050239563,47.218306183815,0,false,false,false,false,false,false
48.1687130331993,48.1720262169838,1,false,true,false,false,false,false
49.4456630349159,49.4436581730843,1,false,false,false,false,false,false
49.8282400369644,49.7616121768951,0,false,false,false,false,false,false
50.7147189974785,50.7153971791267,1,false,true,false,false,false,false
51.3494180440903,51.351242184639,1,false,false,false,false,false,false
51.9863319993019,51.9870237708092,1,false,true,false,false,false,false
52.6222299933434,52.6228877902031,1,false,false,false,false,false,false
54.896005988121,54.8482287526131,0,false,false,false,false,false,false
