timestamp,startTime,endTime,distance,steps
9.54371601343155,0.00303298234939575,9.49487495422363,5.517022260872182,8
12.0715320110321,0.00303298234939575,12.0374769568443,8.592691431113053,12
14.6023889780045,0.00303298234939575,14.575122654438,12.28349443542538,17
17.1511229872704,0.00303298234939575,17.1128416657448,15.31815468339482,21
19.6885960102081,0.00303298234939575,19.6511271595955,18.31180600915104,25
22.2239440083504,0.00303298234939575,22.1925091743469,21.34646625712048,29
24.7585219740868,0.00303298234939575,24.7275924682617,24.38112650508992,33
27.2864429950714,0.00303298234939575,27.2640914320946,27.37477783084614,37
29.8399159908295,0.00303298234939575,29.8010070323944,29.55850294174161,40
45.064209997654,0.00303298234939575,42.504008769989,29.55850294174161,40
45.0681529641151,0.00303298234939575,45.0213433504105,34.25886072323192,47
47.5817829966545,0.00303298234939575,47.5586053133011,37.25251204898814,51
78.0599769949913,0.00303298234939575,75.4825140833855,37.25251204898814,51
78.0651739835739,0.00303298234939575,78.0045180916786,43.91251204896253,60
80.5568940043449,0.00303298234939575,80.5373990535736,46.94717229693197,64
83.0964120030403,0.00303298234939575,83.0748750567436,49.94082362268819,68
