timestamp,ts,steps
0.139325022697449,-8.28939884901047,0
9.53980898857117,9.49485796689987,8
12.0649409890175,12.0374599695206,12
14.5947639942169,14.5751056671143,17
17.1480500102043,17.112824678421,21
19.6720100045204,19.6511101722717,25
22.2190889716148,22.1924921870232,29
24.7560369968414,24.727575480938,33
27.2850940227509,27.2640744447708,37
29.8410999774933,29.8009900450706,40
45.0644599795341,45.0213263630867,47
47.5796909928322,47.5585883259773,51
78.0575150251389,78.0045011043549,60
80.5564799904823,80.5373820662498,64
83.0953189730644,83.0748580694199,68
