timestamp,startDate,confidence,unknown,stationary,walking,running,automotive,cycling
0.076043963432312,-5.14272826910019,2,false,false,false,false,false,false
2.85388499498367,2.80028933286667,1,false,true,false,false,false,false
5.12738198041916,5.02434933185577,2,false,false,false,false,false,false
34.9194439649582,34.8725119829178,1,false,true,false,false,false,false
40.3167719841003,40.2685567140579,1,false,false,false,false,false,false
40.6782259941101,40.5859997272491,2,false,false,false,false,false,false
40.9497169852257,40.9034447073936,1,false,true,false,false,false,false
44.1267349720001,44.077942609787,2,false,true,false,false,false,false
46.6660579442978,46.6177356243134,2,false,false,false,false,false,false
47.3000119924545,47.252624630928,1,false,true,false,false,false,false
48.8908049464226,48.8399420976639,1,false,false,false,false,false,false
49.5217269659042,49.4749221205711,1,false,true,false,false,false,false
52.0598279833794,52.0148091316223,1,false,false,false,false,false,false
53.3530730009079,53.2847967743874,1,false,true,false,false,false,false
58.7301619648933,58.6829494833946,2,false,true,false,false,false,false
60.3183479905128,60.2707804441452,1,false,true,false,false,false,false
63.5169839859009,63.446122944355,2,false,true,false,false,false,false
63.8173449635506,63.7636459469795,1,false,true,false,false,false,false
66.9874289631844,66.9389089345932,2,false,true,false,false,false,false
70.7989869713783,70.7490404844284,1,false,true,false,false,false,false
71.7542849779129,71.7016174793243,1,false,false,false,false,false,false
73.018571972847,72.9718025922775,1,false,true,false,false,false,false
74.6099879741669,74.559509575367,1,false,false,false,false,false,false
75.238854944706,75.1945875883102,1,false,true,false,false,false,false
76.5131949782372,76.4648146033287,1,false,false,false,false,false,false
77.1482380032539,77.0998696088791,1,false,true,false,false,false,false
78.101037979126,78.05238956213,1,false,false,false,false,false,false
78.7582399845123,78.6874606013298,1,false,true,false,false,false,false
81.9138199687004,81.863131582737,2,false,true,false,false,false,false
83.4984669685364,83.4509494900703,2,false,false,false,false,false,false
83.8607929944992,83.7685155272484,2,false,false,false,false,false,false
88.9598459601402,88.8494678735733,0,false,false,true,false,false,false
107.942427992821,107.897049605846,1,false,true,false,false,false,false
108.898336946964,108.8492436409,1,false,false,false,false,false,false
109.276140987873,109.166672646999,0,false,false,true,false,false,false
110.798738002777,110.753860652447,1,false,true,false,false,false,false
111.433481991291,111.3887976408,1,false,false,false,false,false,false
111.797508955002,111.706256628036,2,false,false,false,false,false,false
112.068351984024,112.023699641228,1,false,true,false,false,false,false
115.247574985027,115.198446154594,1,false,false,false,false,false,false
115.882130980492,115.833422124386,1,false,true,false,false,false,false
118.416694998741,118.373200714588,1,false,false,false,false,false,false
119.055839002132,119.008136689663,1,false,true,false,false,false,false
119.41414898634,119.325622737408,2,false,false,false,false,false,false
120.003859996796,119.960563719273,1,false,true,false,false,false,false
120.321604967117,120.278045713902,1,false,false,false,false,false,false
121.593549966812,121.548034727573,1,false,true,false,false,false,false
122.226060986519,122.183014690876,1,false,false,false,false,false,false
122.862874984741,122.818027973175,1,false,true,false,false,false,false
123.500496983528,123.453085958958,1,false,false,false,false,false,false
124.495454967022,124.405568957329,2,false,false,false,false,false,false
127.307514965534,127.262898981571,1,false,true,false,false,false,false
127.945125997066,127.897880852222,1,false,false,false,false,false,false
128.575144946575,128.532878816128,1,false,true,false,false,false,false
129.212339997292,129.1678378582,1,false,false,false,false,false,false
129.575944960117,129.48532384634,2,false,false,false,false,false,false
131.751243948936,131.707724809647,1,false,true,false,false,false,false
134.933666944504,134.882497727871,2,false,true,false,false,false,false
136.514397978783,136.470083773136,1,false,true,false,false,false,false
141.277148962021,141.232077598572,2,false,true,false,false,false,false
150.485471963882,150.438334584236,1,false,true,false,false,false,false
151.755153000355,151.708080589771,1,false,false,false,false,false,false
152.435664951801,152.343028604984,2,false,false,false,false,false,false
162.586513996124,162.500501334667,1,false,true,false,false,false,false
163.501226961613,163.452748000622,1,false,false,false,false,false,false
