timestamp,particleWeightSum,normalizedWeightSum,measurementCount
2.05943095684052,1.65233961459827,0.826169807299136,2
2.07960295677185,2.83658954350987,1.41829477175493,2
3.06451100111008,8.04830580151329,4.02415290075664,2
4.06106698513031,12.7011394012576,6.3505697006288,2
5.06423497200012,11.5602066170843,5.78010330854216,2
13.0964049696922,0.604240369243709,0.302120184621855,2
13.1505699753761,0.0281309425497854,0.00937698084992844,3
13.2039919495583,0.0050898182230195,0.00169660607433983,3
13.2667049765587,0.00935649703132724,0.00311883234377575,3
13.3227880001068,0.00943596529551469,0.00314532176517156,3
13.4444530010223,0.0153571299305099,0.00511904331016996,3
13.5267709493637,0.0108379889501476,0.00361266298338254,3
16.0763239860535,0.00528875492552083,0.00176291830850694,3
16.1389019489288,0.00179888335359961,0.000599627784533204,3
16.1993919610977,6.86177587138195e-17,1.71544396784549e-17,4
18.1255729794502,0.000136008293556498,3.40020733891246e-05,4
18.252032995224,1.17705257371845e-06,2.94263143429612e-07,4
21.0902749896049,0.000348707508230824,0.000116235836076941,3
21.1656649708748,0.268827189901451,0.134413594950726,2
21.3273029923439,1.60350519378864,1.60350519378864,1
21.3499029874802,23.225,inf,0
21.3752249479294,1.0,inf,0
23.8268309831619,0.0,0.0,1
23.8272729516029,0.0,0.0,0
23.8276049494743,0.0,0.0,0
23.8282179832458,0.0,0.0,0
23.8291099667549,0.0,0.0,0
23.8294549584389,0.0,0.0,0
23.8297929763794,0.0,0.0,0
23.8301329612732,0.0,0.0,0
23.8304669857025,0.0,0.0,0
23.8308019638062,0.0,0.0,0
23.8311239480972,0.0,0.0,0
23.8314679861069,0.0,0.0,0
23.8317869901657,0.0,0.0,0
23.8321069478989,0.0,0.0,0
26.0522930026054,98.91,inf,0
26.0619919896126,108.91,inf,0
26.0733679533005,96.5,inf,0
26.0839129686356,94.725,inf,0
26.0947029590607,97.925,inf,0
26.1049029827118,99.975,inf,0
26.1155399680138,96.05,inf,0
26.1261809468269,99.215,inf,0
26.1361939907074,98.05,inf,0
26.1469369530678,99.085,inf,0
26.157586991787,91.41,inf,0
26.1685409545898,100.405,inf,0
26.1797260046005,98.75,inf,0
26.1905049681664,100.235,inf,0
26.2006279826164,98.745,inf,0
26.2119849920273,93.6,inf,0
26.222264945507,105.975,inf,0
26.2332609891891,94.375,inf,0
26.2433529496193,99.12,inf,0
26.2550230026245,103.065,inf,0
26.2655359506607,96.08,inf,0
26.2772779464722,96.0,inf,0
26.2872740030289,94.28,inf,0
26.2987579703331,98.98,inf,0
26.3098539710045,98.325,inf,0
26.3203219771385,96.985,inf,0
26.3309209942818,94.385,inf,0
26.3420469760895,98.515,inf,0
26.3528459668159,95.975,inf,0
26.363608956337,100.625,inf,0
26.3746829628944,103.22,inf,0
26.3850939869881,100.5,inf,0
