timestamp,ts,steps
0.0756440162658691,-223.820353746414,0
12.8013380169868,12.7263780236244,8
15.3157309889793,15.2662888169289,13
17.8631240129471,17.8133927583694,17
20.3988370299339,20.3478467464447,21
22.9375439882278,22.8880922794342,26
25.4816870093346,25.4282532930374,30
28.0136280059814,27.9672703742981,34
30.5576150417328,30.5061493515968,39
33.0964840054512,33.0451470017433,41
91.5308790206909,91.4678859114647,49
94.0560010075569,94.0059195160866,53
96.5925700068474,96.5458365082741,58
99.1383150219917,99.085145175457,62
101.679293990135,101.627534151077,66
104.214453995228,104.165902972221,70
106.753450989723,106.703409016132,73
