timestamp,ts,steps
0.0731440186500549,-3.95063674449921,0
11.3868060112,11.3173059225082,9
13.9253970384598,13.8637740015984,13
16.4496560096741,16.4015539884567,17
19.01863104105,18.9462507367134,21
21.5342810153961,21.4873577356339,25
24.0881420373917,24.0302720665932,29
26.6359140276909,26.5738210678101,34
29.1701549887657,29.1223894357681,38
31.7331980466843,31.6642894148827,42
34.2579420208931,34.2061027288437,46
36.7949170470238,36.7479727268219,50
39.3408640027046,39.2900592088699,54
41.889985024929,41.8314411640167,58
44.4239190220833,44.372946202755,62
46.9756020307541,46.9173492193222,67
49.5156630277634,49.455048084259,71
52.0429869890213,51.9967041015625,75
54.5947400331497,54.5375355482101,76
